Набор,Дет,WxH,FFD л,FFD ост (пл),FFD ост (шт),FFD %,SA ср,SA л,SA ост (пл),SA ост (шт),SA %,Улучш%,Δ лист,Тип,Выгода ост% (при равных листах)
metal_directional_85,28,1500x3000,2,2054502,46,72.9,2.00,2,2231817,74,72.9,0.0,0,Улучшение заполнения,8.63%
fabric_86,26,1500x5000,1,1277710,27,70.7,1.00,1,1577703,46,70.7,0.0,0,Улучшение заполнения,23.48%
paper_87,36,1000x1400,5,1075481,20,79.7,5.00,5,1158332,46,79.7,0.0,0,Улучшение заполнения,7.70%
laminate_88,25,2800x2070,2,3850955,17,60.8,2.00,2,4161295,35,60.8,0.0,0,Улучшение заполнения,8.06%
paper_89,53,1000x1400,8,2812912,55,72.0,7.60,7,1379293,69,82.2,12.5,1,Экономия листов,-
composite_directional_90,35,2500x1800,2,467158,16,88.7,2.80,2,781677,34,88.7,0.0,0,Улучшение заполнения,67.33%
fabric_91,26,1500x5000,2,7319045,19,47.6,2.00,2,7433709,39,47.6,0.0,0,Улучшение заполнения,1.57%
fabric_92,32,1500x5000,1,850386,22,77.8,1.00,1,1289133,74,77.8,0.0,0,Улучшение заполнения,51.59%
composite_directional_93,38,2500x1800,3,3894223,33,69.2,3.00,3,4014643,33,69.2,0.0,0,Улучшение заполнения,3.09%
composite_directional_94,31,2500x1800,2,494699,19,90.9,2.80,2,512760,27,90.9,0.0,0,Улучшение заполнения,3.65%
paper_95,60,1000x1400,7,1901631,37,75.7,7.00,7,2204143,83,75.7,0.0,0,Улучшение заполнения,15.91%
vinyl_96,15,2000x20000,1,10366649,9,58.9,1.00,1,13420936,19,58.9,0.0,0,Улучшение заполнения,29.46%
metal_directional_97,24,1500x3000,2,3415004,22,59.9,2.00,2,3475980,44,59.9,0.0,0,Улучшение заполнения,1.79%
vinyl_98,19,2000x20000,2,39534321,8,45.4,2.00,2,40668774,27,45.4,0.0,0,Улучшение заполнения,2.87%
fabric_99,27,1500x5000,1,1882158,30,65.5,1.00,1,2107994,37,65.5,0.0,0,Улучшение заполнения,12.00%
vinyl_100,16,2000x20000,1,6989742,14,75.0,1.00,1,7851153,14,75.0,0.0,0,Улучшение заполнения,12.32%
mixed_01,31,3210x6000,1,7707238,11,54.3,1.00,1,8370000,74,54.3,0.0,0,Улучшение заполнения,8.60%
strip_02,54,3210x2500,2,5090556,111,61.3,2.00,2,5663440,71,61.3,0.0,0,Улучшение заполнения,11.25%
metal_03,35,1500x3000,2,2982407,10,55.1,2.00,2,3818550,13,55.1,0.0,0,Улучшение заполнения,28.04%
strip_04,34,2000x3000,1,1715377,80,62.2,1.20,1,2120901,154,62.2,0.0,0,Улучшение заполнения,23.64%
mixed_05,41,4000x4000,1,2626046,25,72.7,1.00,1,3852376,84,72.7,0.0,0,Улучшение заполнения,46.70%
uniform_06,20,2500x3000,1,2173100,6,41.1,1.00,1,3290520,7,41.1,0.0,0,Улучшение заполнения,51.42%
furniture_07,35,2440x1220,3,2369114,11,65.8,3.00,3,2547110,5,65.8,0.0,0,Улучшение заполнения,7.51%
metal_08,29,1500x3000,2,4113748,13,51.3,2.00,2,4073125,49,51.3,0.0,0,Ухудшение заполнения,-0.99%
metal_09,25,1500x3000,1,677596,14,73.0,1.00,1,1075590,42,73.0,0.0,0,Улучшение заполнения,58.74%
composite_10,41,2500x1800,3,3625421,31,69.3,3.00,3,3962902,66,69.3,0.0,0,Улучшение заполнения,9.31%
glass_11,17,3210x2000,2,5607707,7,48.4,2.00,2,5788662,6,48.4,0.0,0,Улучшение заполнения,3.23%
strip_12,51,2440x3000,1,960266,62,76.0,1.00,1,1143789,90,76.0,0.0,0,Улучшение заполнения,19.11%
furniture_13,31,2440x1220,2,617691,8,78.4,2.00,2,796992,7,78.4,0.0,0,Улучшение заполнения,29.03%
plastic_14,31,2000x4000,2,4630445,26,60.1,2.00,2,5720258,35,60.1,0.0,0,Улучшение заполнения,23.54%
strip_15,29,1500x2500,1,407449,14,71.1,1.40,1,779453,42,71.1,0.0,0,Улучшение заполнения,91.30%
metal_16,24,1500x3000,1,227195,11,81.4,1.00,1,680444,34,81.4,0.0,0,Улучшение заполнения,199.50%
metal_17,29,1500x3000,1,421560,10,81.8,1.00,1,496534,30,81.8,0.0,0,Улучшение заполнения,17.78%
glass_18,25,3210x2000,2,501142,6,80.0,2.00,2,1526328,4,80.0,0.0,0,Улучшение заполнения,204.57%
mixed_19,38,3000x6000,1,7573676,29,52.4,1.00,1,7871365,102,52.4,0.0,0,Улучшение заполнения,3.93%
plastic_20,46,2000x4000,2,590428,15,79.1,2.20,2,1839448,59,79.1,0.0,0,Улучшение заполнения,211.54%
strip_21,50,1500x1000,4,914722,18,75.2,4.00,4,1180462,35,75.2,0.0,0,Улучшение заполнения,29.05%
composite_22,38,2500x1800,3,1660430,33,85.5,3.80,3,1765390,55,85.5,0.0,0,Улучшение заполнения,6.32%
plastic_23,35,2000x4000,2,3434921,28,63.8,2.00,2,5047706,44,63.8,0.0,0,Улучшение заполнения,46.95%
metal_24,29,1500x3000,2,4004084,8,53.4,2.00,2,4086384,36,53.4,0.0,0,Улучшение заполнения,2.06%
furniture_25,31,2440x1220,3,2134860,5,68.7,3.00,3,2115486,11,68.7,0.0,0,Ухудшение заполнения,-0.91%
uniform_26,53,2500x3000,2,507870,3,79.9,2.00,2,1555152,16,79.9,0.0,0,Улучшение заполнения,206.21%
strip_27,58,3210x2500,2,6408742,43,55.1,2.00,2,6692223,79,55.1,0.0,0,Улучшение заполнения,4.42%
plastic_28,48,2000x4000,2,424877,11,87.5,3.00,3,8818317,41,58.3,-50.0,-1,Хуже (больше листов),-
metal_29,28,1500x3000,1,176660,7,88.4,1.00,1,182869,17,88.4,0.0,0,Улучшение заполнения,3.51%
strip_30,44,2500x1220,2,760514,35,75.4,2.00,2,1156252,42,75.4,0.0,0,Улучшение заполнения,52.04%
furniture_31,40,2440x1220,3,748250,6,80.6,3.00,3,1056635,10,80.6,0.0,0,Улучшение заполнения,41.21%
strip_32,53,1500x6000,1,661341,4,66.7,1.20,1,992651,31,66.7,0.0,0,Улучшение заполнения,50.10%
metal_33,25,1500x3000,1,740789,10,73.9,1.00,1,967296,33,73.9,0.0,0,Улучшение заполнения,30.58%
furniture_34,37,2440x1220,2,0,0,88.7,2.60,2,82855,2,88.7,0.0,0,Улучшение заполнения,0.0%
glass_35,25,3210x2000,2,329472,4,84.5,2.20,2,971050,6,84.5,0.0,0,Улучшение заполнения,194.73%
plastic_36,48,2000x4000,3,7881371,3,59.3,3.00,3,8048135,22,59.3,0.0,0,Улучшение заполнения,2.12%
composite_37,39,2500x1800,3,4072752,29,67.8,3.00,3,4220569,71,67.8,0.0,0,Улучшение заполнения,3.63%
mixed_38,60,2500x1500,3,1286169,14,81.8,3.00,3,1716250,23,81.8,0.0,0,Улучшение заполнения,33.44%
metal_39,20,1500x3000,1,1375831,23,62.5,1.00,1,1550095,40,62.5,0.0,0,Улучшение заполнения,12.67%
strip_40,51,2440x2000,2,3097895,47,58.4,2.00,2,3681609,51,58.4,0.0,0,Улучшение заполнения,18.84%
composite_41,36,2500x1800,3,4707294,28,63.1,3.00,3,4844364,46,63.1,0.0,0,Улучшение заполнения,2.91%
mixed_42,59,3000x1000,4,2653887,35,73.9,4.00,4,2892432,36,73.9,0.0,0,Улучшение заполнения,8.99%
plastic_43,50,2000x4000,3,7018169,21,64.3,3.00,3,7559206,60,64.3,0.0,0,Улучшение заполнения,7.71%
strip_44,49,2500x1500,2,1086670,23,69.7,2.00,2,1806250,36,69.7,0.0,0,Улучшение заполнения,66.22%
plastic_45,30,2000x4000,2,7596372,15,43.4,2.00,2,8261667,41,43.4,0.0,0,Улучшение заполнения,8.76%
strip_46,31,2000x1500,2,2220609,33,54.1,2.00,2,2475508,28,54.1,0.0,0,Улучшение заполнения,11.48%
furniture_47,25,2440x1220,2,916545,9,72.9,2.00,2,1200671,16,72.9,0.0,0,Улучшение заполнения,31.00%
mixed_48,49,1500x3000,4,4314672,12,73.1,4.00,4,4557779,28,73.1,0.0,0,Улучшение заполнения,5.63%
plastic_49,32,2000x4000,2,5731330,25,52.8,2.00,2,6955602,23,52.8,0.0,0,Улучшение заполнения,21.36%
mixed_50,51,1500x1500,4,336388,6,92.0,5.00,5,2826766,35,73.6,-25.0,-1,Хуже (больше листов),-
mixed_51,54,2440x2500,2,3205136,5,64.3,2.00,2,3778964,14,64.3,0.0,0,Улучшение заполнения,17.90%
glass_52,16,3210x2000,2,5083182,8,51.2,2.00,2,5735932,19,51.2,0.0,0,Улучшение заполнения,12.84%
plastic_53,46,2000x4000,2,1206998,9,77.4,2.00,2,2399907,39,77.4,0.0,0,Улучшение заполнения,98.83%
metal_54,25,1500x3000,1,892327,13,66.8,1.00,1,1153895,26,66.8,0.0,0,Улучшение заполнения,29.31%
uniform_55,54,3210x6000,1,948321,4,74.5,1.00,1,1419397,10,74.5,0.0,0,Улучшение заполнения,49.67%
furniture_56,27,2440x1220,2,288312,4,82.5,2.00,2,433622,5,82.5,0.0,0,Улучшение заполнения,50.40%
uniform_57,30,2000x4000,3,7611292,8,60.0,3.00,3,8119527,17,60.0,0.0,0,Улучшение заполнения,6.68%
strip_58,40,2440x2000,2,4477982,16,47.6,2.00,2,4690572,36,47.6,0.0,0,Улучшение заполнения,4.75%
uniform_59,49,3000x3000,4,8551288,9,70.0,4.00,4,8627705,36,70.0,0.0,0,Улучшение заполнения,0.89%
glass_60,21,3210x2000,2,1874433,3,72.0,2.00,2,2867439,11,72.0,0.0,0,Улучшение заполнения,52.98%
composite_61,36,2500x1800,3,4241237,31,64.1,3.00,3,4595406,63,64.1,0.0,0,Улучшение заполнения,8.35%
mixed_62,25,3210x1220,2,3532614,8,48.9,2.00,2,3800412,31,48.9,0.0,0,Улучшение заполнения,7.58%
plastic_63,41,2000x4000,2,1689611,9,74.6,2.00,2,2908346,38,74.6,0.0,0,Улучшение заполнения,72.13%
uniform_64,56,1500x4000,3,5737384,5,61.1,3.00,3,5543990,8,61.1,0.0,0,Ухудшение заполнения,-3.37%
glass_65,19,3210x2000,2,4764750,8,55.0,2.00,2,4952274,6,55.0,0.0,0,Улучшение заполнения,3.94%
metal_66,23,1500x3000,1,843895,19,71.5,1.00,1,1071526,24,71.5,0.0,0,Улучшение заполнения,26.97%
metal_67,34,1500x3000,1,36195,5,93.5,1.80,1,158592,18,93.5,0.0,0,Улучшение заполнения,338.16%
plastic_68,47,2000x4000,2,1953129,12,73.4,2.00,2,2879373,48,73.4,0.0,0,Улучшение заполнения,47.42%
glass_69,24,3210x2000,2,1356642,7,75.2,2.00,2,2244660,8,75.2,0.0,0,Улучшение заполнения,65.46%
mixed_70,38,2500x2500,1,1463571,16,67.2,1.00,1,1591410,60,67.2,0.0,0,Улучшение заполнения,8.73%
plastic_71,39,2000x4000,2,2004324,8,73.4,2.00,2,3104499,32,73.4,0.0,0,Улучшение заполнения,54.89%
plastic_72,43,2000x4000,2,1107954,16,77.5,2.00,2,2643139,36,77.5,0.0,0,Улучшение заполнения,138.56%
furniture_73,40,2440x1220,3,2027100,8,68.3,3.00,3,2110184,10,68.3,0.0,0,Улучшение заполнения,4.10%
composite_74,41,2500x1800,2,466482,7,90.2,2.80,2,689606,24,90.2,0.0,0,Улучшение заполнения,47.83%
mixed_75,60,3210x4000,3,12548452,40,65.9,3.00,3,12770805,95,65.9,0.0,0,Улучшение заполнения,1.77%
strip_76,25,2000x3000,1,2965612,76,39.7,1.00,1,3363527,115,39.7,0.0,0,Улучшение заполнения,13.42%
strip_77,38,3210x1500,2,1387644,29,74.0,2.00,2,1870224,37,74.0,0.0,0,Улучшение заполнения,34.78%
metal_78,35,1500x3000,2,2848302,16,65.8,2.00,2,2926780,22,65.8,0.0,0,Улучшение заполнения,2.76%
mixed_79,46,2500x1500,5,1993783,22,85.9,5.80,5,2253799,17,85.9,0.0,0,Улучшение заполнения,13.04%
uniform_80,22,3000x4000,2,6842802,17,62.3,2.00,2,8020570,34,62.3,0.0,0,Улучшение заполнения,17.21%
strip_81,31,1500x4000,1,1981326,52,56.0,1.00,1,2189383,67,56.0,0.0,0,Улучшение заполнения,10.50%
mixed_82,48,4000x1000,3,3884203,40,65.6,3.00,3,3942490,110,65.6,0.0,0,Улучшение заполнения,1.50%
mixed_83,56,3210x2000,3,3011769,17,79.1,3.00,3,3637196,47,79.1,0.0,0,Улучшение заполнения,20.77%
uniform_84,36,2440x3000,1,835504,3,50.0,1.00,1,1133143,5,50.0,0.0,0,Улучшение заполнения,35.62%
mixed_85,43,1500x3000,2,1263702,9,67.6,2.00,2,2544362,7,67.6,0.0,0,Улучшение заполнения,101.34%
plastic_86,48,2000x4000,3,7893663,11,61.9,3.00,3,7909565,61,61.9,0.0,0,Улучшение заполнения,0.20%
plastic_87,45,2000x4000,2,1338825,15,79.5,2.00,2,2320567,46,79.5,0.0,0,Улучшение заполнения,73.33%
metal_88,23,1500x3000,1,1264863,24,63.0,1.00,1,1456112,39,63.0,0.0,0,Улучшение заполнения,15.12%
furniture_89,32,2440x1220,2,799755,9,77.3,2.00,2,904761,15,77.3,0.0,0,Улучшение заполнения,13.13%
furniture_90,25,2440x1220,2,810269,9,72.7,2.00,2,1259349,11,72.7,0.0,0,Улучшение заполнения,55.42%
composite_91,36,2500x1800,3,1012398,16,89.7,4.00,4,5814714,81,67.3,-33.3,-1,Хуже (больше листов),-
furniture_92,39,2440x1220,3,872775,12,77.9,3.00,3,1318778,15,77.9,0.0,0,Улучшение заполнения,51.10%
glass_93,15,3210x2000,1,0,0,91.7,2.00,2,6227904,3,45.9,-100.0,-1,Хуже (больше листов),-
strip_94,56,1500x1220,5,1796329,17,73.6,5.00,5,2181012,68,73.6,0.0,0,Улучшение заполнения,21.41%
metal_95,25,1500x3000,1,761635,19,75.5,1.00,1,838518,23,75.5,0.0,0,Улучшение заполнения,10.09%
composite_96,39,2500x1800,3,3966034,11,68.0,3.00,3,4058184,92,68.0,0.0,0,Улучшение заполнения,2.32%
composite_97,37,2500x1800,4,5036549,34,70.3,4.00,4,5190780,84,70.3,0.0,0,Улучшение заполнения,3.06%
plastic_98,47,2000x4000,3,7528916,11,59.9,3.00,3,8305322,36,59.9,0.0,0,Улучшение заполнения,10.31%
glass_99,25,3210x2000,2,1073051,8,79.6,2.00,2,1356431,10,79.6,0.0,0,Улучшение заполнения,26.41%
mixed_100,51,2500x1000,6,2066232,5,79.0,6.00,6,2696379,21,79.0,0.0,0,Улучшение заполнения,30.50%
