Набор,Дет,WxH,FFD л,FFD ост,FFD %,SA ср,SA л,SA ост,SA %,Улучш%,Δ лист,Выгода SA по ост %
composite_directional_90,35,2500x1800,3,4881731,59.1,2.20,2,717943,88.7,33.3,1,6.89%
fabric_91,26,1500x5000,2,7352478,47.6,2.00,2,7281190,47.6,0.0,0,-0.97%
fabric_92,32,1500x5000,1,850386,77.8,1.00,1,963026,77.8,0.0,0,13.25%
composite_directional_93,38,2500x1800,3,3803337,69.2,3.00,3,3879683,69.2,0.0,0,2.01%
composite_directional_94,31,2500x1800,3,4998605,60.6,3.00,3,4845537,60.6,0.0,0,-3.06%
paper_95,60,1000x1400,7,1921075,75.7,7.00,7,2026693,75.7,0.0,0,5.50%
vinyl_96,15,2000x20000,1,10366649,58.9,1.00,1,7199337,58.9,0.0,0,-30.55%
metal_directional_97,24,1500x3000,2,3316304,59.9,2.00,2,3293785,59.9,0.0,0,-0.68%
vinyl_98,19,2000x20000,2,39534321,45.4,2.00,2,38724218,45.4,0.0,0,-2.05%
fabric_99,27,1500x5000,1,1882158,65.5,1.00,1,1249057,65.5,0.0,0,-33.64%
vinyl_100,16,2000x20000,1,6989742,75.0,1.00,1,5993288,75.0,0.0,0,-14.26%
